online_order,book_table,rate,votes,rest_type,cuisines,cost,city
1,1,4.1,775,20,1386,800,1
1,0,4.1,787,20,594,800,1
1,0,3.8,918,16,484,800,1
0,0,3.7,88,62,1587,300,1
0,0,3.8,166,20,1406,600,1
1,0,3.8,286,20,1156,600,1
1,1,4.6,2556,22,1468,600,1
1,0,4.0,324,13,462,700,1
1,0,4.2,504,13,485,550,1
1,0,4.1,402,13,332,500,1
1,1,4.2,150,13,462,600,1
1,1,4.2,164,13,380,500,1
0,0,4.0,424,13,383,450,1
1,0,3.8,918,16,484,800,1
1,0,3.8,90,13,332,650,1
1,0,3.9,133,13,441,800,1
1,0,3.8,144,13,533,700,1
0,0,3.9,93,13,456,300,1
1,0,3.0,62,13,444,400,1
1,0,3.7,180,13,496,500,1
1,0,3.6,62,65,985,600,1
0,0,3.8,148,22,1194,550,1
1,0,4.0,219,13,455,600,1
1,0,2.8,506,62,1332,500,1
1,0,3.9,172,29,1465,750,1
1,0,4.2,415,62,1190,500,1
1,0,3.9,230,29,235,650,1
1,0,4.2,1647,20,609,600,1
1,0,4.4,4884,20,1402,750,1
1,0,3.8,133,62,1636,200,1
1,0,3.9,286,62,322,500,1
1,0,3.9,540,62,1474,800,1
1,1,4.6,2556,22,1468,600,1
0,0,3.8,36,29,1314,400,1
1,0,3.6,244,62,1196,300,1
1,0,4.0,804,20,1218,450,1
1,0,3.7,679,20,604,850,1
1,0,3.1,245,62,1257,300,1
0,0,4.3,345,30,956,400,1
1,0,4.0,618,20,288,750,1
0,0,4.0,1047,62,980,450,1
1,0,3.9,627,29,923,450,1
1,1,4.2,354,20,151,800,1
0,0,4.2,244,20,1000,800,1
1,1,3.6,163,20,915,800,1
0,1,4.0,808,20,1196,850,1
1,0,4.1,1720,62,1355,400,1
0,0,4.1,868,57,704,1200,1
0,0,4.1,520,62,248,300,1
0,0,3.6,299,62,868,300,1
1,0,4.1,558,62,1547,150,1
0,0,3.8,39,62,1563,350,1
1,0,4.2,146,9,215,400,1
1,0,4.4,4401,20,286,600,1
0,0,2.6,283,20,1156,600,1
0,0,3.3,62,4,1589,800,1
0,0,3.7,65,62,873,300,1
1,0,3.8,71,30,959,400,1
0,0,3.5,52,62,1547,300,1
0,0,3.7,130,62,1547,200,1
0,0,3.8,45,72,175,400,1
1,0,4.1,201,62,1597,300,1
1,0,4.0,771,20,1589,450,1
0,0,3.0,98,4,1196,800,1
1,1,4.1,175,20,1591,500,1
1,0,3.8,540,20,1353,650,1
1,0,3.8,124,62,584,400,1
1,0,4.1,340,72,1392,500,1
1,0,3.8,505,62,322,450,1
1,0,4.1,438,30,791,500,1
1,0,3.7,264,20,1212,750,1
1,0,3.7,97,62,1386,350,1
1,0,3.6,195,20,597,800,1
1,0,4.6,228,13,359,400,1
1,1,4.1,364,20,1665,1200,1
1,0,3.7,107,9,221,150,1
1,0,3.2,167,62,1594,300,1
1,0,4.2,64,62,1510,500,1
1,0,3.0,290,62,1215,450,1
1,0,4.1,233,62,1628,200,1
1,0,3.8,115,62,863,250,1
1,1,3.9,291,13,368,650,1
1,0,4.5,155,9,228,300,1
1,0,4.1,305,20,965,700,1
1,0,3.9,38,30,949,150,1
1,0,3.9,441,62,1592,400,1
1,0,4.3,630,62,1454,200,1
1,0,3.9,160,62,84,300,1
1,0,4.2,287,62,1156,350,1
1,0,4.1,402,13,332,500,1
1,0,3.8,469,20,1208,750,1
1,0,3.3,511,20,166,550,1
1,0,3.9,264,62,1547,200,1
1,0,3.0,62,13,444,400,1
1,0,3.8,693,20,1474,750,1
1,0,3.8,242,20,1089,650,1
1,0,4.1,163,62,684,500,1
1,0,4.2,191,62,1636,250,1
1,0,3.5,32,62,1486,150,1
1,0,2.5,247,20,1156,500,1
1,1,4.1,2339,20,1206,1500,1
1,0,4.1,337,62,547,300,1
1,0,3.9,135,20,1222,800,1
1,0,3.6,172,20,1196,700,1
1,0,3.6,105,20,1678,700,1
1,0,4.2,504,13,485,550,1
1,1,4.3,1129,20,1009,1300,1
1,0,4.3,860,30,789,500,1
1,0,3.8,412,20,77,700,1
1,1,3.9,142,20,1093,1000,1
1,0,3.6,143,20,1554,750,1
1,0,4.4,181,9,231,250,1
1,0,3.8,70,62,1451,200,1
1,0,3.8,164,62,1476,600,1
1,0,3.6,58,62,366,650,1
0,0,3.8,148,22,1194,550,1
0,0,3.9,206,62,1585,450,1
0,0,3.7,217,20,1281,450,1
0,0,3.8,148,62,873,150,1
1,0,2.9,177,20,1211,700,1
1,0,3.7,136,62,1507,600,1
1,0,4.1,185,62,1022,200,1
1,0,3.8,155,20,1597,400,1
1,0,3.8,42,62,1589,300,1
